,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Te Anau,NZ,-45.42,167.72,60.11,66,0,3.6
1,Castro,CL,-42.47,-73.77,48.59,78,80,5.95
2,Namatanai,PG,-3.67,152.43,84.5,100,20,2.15
3,Orsk,RU,51.2,58.57,32.0,88,75,15.66
4,Hobart,AU,-42.88,147.33,71.6,53,40,6.93
5,Yellowknife,CA,62.46,-114.35,-9.41,83,20,6.93
6,Mar del Plata,AR,-38.0,-57.56,50.0,87,90,13.87
7,Arraial do Cabo,BR,-22.97,-42.03,73.4,88,0,5.82
8,Dikson,RU,73.51,80.55,-3.52,100,8,14.23
9,Ulladulla,AU,-35.35,150.47,62.6,100,75,9.17
10,Longyearbyen,SJ,78.22,15.64,26.6,68,75,11.41
11,Esperance,AU,-33.87,121.9,71.18,75,0,7.18
12,Severo-Kurilsk,RU,50.68,156.12,35.54,100,24,7.18
13,Camamu,BR,-13.94,-39.1,75.01,91,44,7.18
14,Port Alfred,ZA,-33.59,26.89,55.02,100,0,5.39
15,Busselton,AU,-33.65,115.33,62.22,100,88,9.08
16,Samarai,PG,-10.62,150.67,78.11,100,92,4.72
17,Along,IN,28.17,94.77,58.67,72,36,2.04
18,Sitka,US,57.05,-135.33,35.6,93,90,11.41
19,Rikitea,PF,-23.12,-134.97,72.17,100,80,16.02
20,Lagoa,PT,39.05,-27.98,67.17,99,100,23.85
21,Kapaa,US,22.08,-159.32,82.4,69,75,12.75
22,Hermanus,ZA,-34.42,19.23,47.33,92,56,3.15
23,Tasiilaq,GL,65.61,-37.64,19.4,52,0,10.29
24,East London,ZA,-33.02,27.91,61.55,100,0,4.72
25,Hilo,US,19.73,-155.09,78.8,57,1,8.05
26,Sistranda,NO,63.73,8.83,35.6,100,40,19.46
27,Rosarito,MX,32.33,-117.03,75.2,82,75,11.41
28,College,US,64.86,-147.8,10.4,92,20,2.82
29,Kosh-Agach,RU,50.0,88.67,-18.28,41,0,2.59
30,Tarrafal,CV,15.28,-23.77,77.0,73,20,8.05
31,Avarua,CK,-21.21,-159.78,80.6,78,40,12.75
32,Faxinal,BR,-24.0,-51.32,69.29,94,36,10.2
33,Darnah,LY,32.77,22.64,65.65,100,8,3.6
34,Cidreira,BR,-30.18,-50.21,67.17,90,44,14.12
35,Kavieng,PG,-2.57,150.8,84.59,100,0,3.15
36,Sioux City,US,42.5,-96.4,51.8,71,40,13.87
37,Edd,ER,13.93,41.69,59.39,63,0,2.59
38,Sangar,RU,63.92,127.47,-23.5,34,48,4.16
39,Inhambane,MZ,-23.86,35.38,64.79,100,0,6.96
40,Ucluelet,CA,48.93,-125.55,46.4,70,90,3.36
41,Kirakira,SB,-10.45,161.92,80.86,100,68,8.52
42,Leningradskiy,RU,69.38,178.42,9.89,100,12,1.92
43,Myitkyina,MM,25.38,97.4,64.07,96,32,2.26
44,Berdigestyakh,RU,62.1,126.7,-13.51,61,48,4.16
45,Cayenne,GF,4.93,-52.33,78.8,83,0,1.12
46,Penzance,GB,50.12,-5.54,37.4,100,0,3.36
47,Dingle,IE,52.14,-10.27,52.77,98,88,15.01
48,Port-Cartier,CA,50.03,-66.87,32.0,99,90,13.87
49,Ponta do Sol,CV,17.2,-25.09,76.58,100,0,11.32
50,Mackenzie,CA,55.3,-123.17,15.8,78,75,6.93
51,Kuytun,RU,54.34,101.5,4.45,84,80,2.37
52,Nanortalik,GL,60.14,-45.24,24.42,99,0,12.44
53,Nuuk,GL,64.18,-51.72,23.0,85,64,4.7
54,Fereydun Kenar,IR,36.69,52.52,51.8,93,44,4.7
55,Doha,QA,25.29,51.53,77.0,57,0,6.93
56,Adrar,DZ,27.87,-0.29,55.4,32,0,8.05
57,Khatanga,RU,71.97,102.5,-14.86,68,32,3.94
58,Karpathos,GR,35.51,27.21,66.2,82,40,9.17
59,Ushuaia,AR,-54.8,-68.3,46.4,86,75,14.99
60,Punta Arenas,CL,-53.15,-70.92,48.2,57,75,17.22
61,Jamestown,SH,-15.94,-5.72,67.9,100,80,18.92
62,Iqaluit,CA,63.75,-68.51,1.4,54,5,2.24
63,Santa Vitoria do Palmar,BR,-33.52,-53.37,64.21,71,36,8.75
64,Port Elizabeth,ZA,-33.92,25.57,50.0,93,0,2.24
65,Hualmay,PE,-11.1,-77.61,63.4,82,20,4.72
66,Saint-Philippe,RE,-21.36,55.77,75.2,83,44,3.36
67,Tuktoyaktuk,CA,69.45,-133.04,-11.21,76,75,2.24
