Voter ID,County,Candidate
1405627,Harsaw,Vestal
1711723,Mershville,Vestal
1550639,Matterdawn,Vestal
1042621,Harsaw,Vestal
1583965,Matterdawn,Vestal
1943299,Mershville,Vestal
1880982,Harsaw,Torres
1305689,Harsaw,Torres
1759114,Mershville,Vestal
1745020,Matterdawn,Seth
1562401,Harsaw,Vestal
1467337,Porpus,Torres
1091170,Matterdawn,Torres
1947604,Harsaw,Vestal
1400758,Mershville,Torres
1009045,Matterdawn,Vestal
1246891,Matterdawn,Cordin
1744120,Matterdawn,Vestal
1571939,Mershville,Vestal
1936895,Matterdawn,Vestal
1122582,Matterdawn,Torres
1307503,Mershville,Torres
1594030,Harsaw,Torres
1072081,Mershville,Torres
1368919,Mershville,Vestal
1954121,Harsaw,Torres
1427438,Matterdawn,Vestal
1049416,Porpus,Torres
1619112,Harsaw,Torres
1725473,Mershville,Vestal
1502789,Matterdawn,Vestal
1664594,Matterdawn,Vestal
1134736,Harsaw,Vestal
1856175,Harsaw,Vestal
1888113,Matterdawn,Vestal
1346478,Matterdawn,Vestal
1162539,Mershville,Torres
1687715,Matterdawn,Vestal
1171633,Matterdawn,Vestal
1338311,Arrent,Torres
1916790,Harsaw,Vestal
1640988,Harsaw,Torres
1594939,Mershville,Vestal
1409834,Harsaw,Vestal
1849629,Harsaw,Torres
1382965,Harsaw,Vestal
1578213,Matterdawn,Vestal
1400638,Mershville,Vestal
1534342,Harsaw,Vestal
1539179,Mershville,Vestal
1270213,Mershville,Vestal
1314469,Matterdawn,Vestal
1313889,Matterdawn,Vestal
1094074,Mershville,Vestal
1076540,Harsaw,Vestal
1255677,Harsaw,Vestal
1516561,Porpus,Torres
1385922,Harsaw,Vestal
1937621,Matterdawn,Vestal
1589782,Matterdawn,Seth
1132082,Matterdawn,Torres
1026239,Mershville,Torres
1508612,Harsaw,Torres
1991773,Matterdawn,Torres
1515985,Mershville,Vestal
1041391,Matterdawn,Vestal
1026760,Harsaw,Vestal
1524917,Matterdawn,Torres
1777914,Matterdawn,Torres
1408930,Harsaw,Torres
1303002,Harsaw,Torres
1258008,Harsaw,Vestal
1701560,Matterdawn,Vestal
1017866,Porpus,Vestal
1635549,Harsaw,Vestal
1326101,Mershville,Torres
1618491,Matterdawn,Torres
1001778,Mershville,Torres
1905126,Matterdawn,Torres
1306659,Harsaw,Vestal
1981251,Matterdawn,Vestal
1952227,Matterdawn,Vestal
1580919,Mershville,Vestal
1198712,Mershville,Vestal
1035648,Porpus,Vestal
1574127,Mershville,Torres
1157643,Harsaw,Torres
1327037,Harsaw,Vestal
1549615,Harsaw,Torres
1894415,Harsaw,Seth
1902528,Mershville,Torres
1496427,Mershville,Vestal
1776785,Harsaw,Torres
1816105,Harsaw,Vestal
1476970,Mershville,Vestal
1141542,Matterdawn,Torres
1845751,Mershville,Vestal
1010218,Matterdawn,Vestal
1189678,Harsaw,Torres
1749666,Harsaw,Vestal
1241864,Harsaw,Seth
1660290,Harsaw,Cordin
1034563,Mershville,Torres
1173935,Matterdawn,Torres
1254502,Harsaw,Torres
1808880,Matterdawn,Torres
1575474,Matterdawn,Torres
1466759,Harsaw,Vestal
1004813,Arrent,Vestal
1704422,Mershville,Vestal
1983514,Harsaw,Vestal
1941225,Matterdawn,Torres
1524317,Arrent,Torres
1235902,Mershville,Torres
1045917,Arrent,Vestal
1007524,Matterdawn,Vestal
1060110,Matterdawn,Vestal
1649407,Matterdawn,Torres
1977528,Mershville,Vestal
1067795,Harsaw,Torres
1957226,Matterdawn,Cordin
1706977,Harsaw,Torres
1705989,Harsaw,Vestal
1012547,Porpus,Vestal
1508791,Matterdawn,Torres
1387331,Matterdawn,Torres
1943597,Harsaw,Vestal
1711867,Arrent,Vestal
1626454,Porpus,Torres
1694923,Mershville,Cordin
1760473,Harsaw,Cordin
1480124,Porpus,Torres
1716779,Harsaw,Vestal
1152919,Matterdawn,Vestal
1893345,Harsaw,Vestal
1623960,Harsaw,Torres
1421539,Matterdawn,Seth
1809627,Harsaw,Vestal
1024954,Matterdawn,Torres
1996157,Mershville,Torres
1291473,Porpus,Vestal
1913043,Harsaw,Vestal
1346527,Mershville,Torres
1214074,Mershville,Vestal
1434007,Arrent,Cordin
1055592,Harsaw,Torres
1164217,Harsaw,Vestal
1538836,Mershville,Torres
1581872,Matterdawn,Vestal
1425292,Matterdawn,Vestal
1550187,Arrent,Torres
1837846,Matterdawn,Torres
1289908,Mershville,Torres
1164555,Harsaw,Vestal
1489630,Harsaw,Vestal
1424020,Matterdawn,Torres
1149585,Harsaw,Vestal
1150900,Harsaw,Torres
1526672,Mershville,Vestal
1418452,Matterdawn,Vestal
1869082,Mershville,Vestal
1994545,Arrent,Torres
1868013,Harsaw,Torres
1030350,Mershville,Torres
1854903,Mershville,Vestal
1761525,Porpus,Torres
1527876,Arrent,Torres
1856127,Harsaw,Vestal
1354314,Matterdawn,Torres
1162882,Arrent,Torres
1586265,Matterdawn,Vestal
1453832,Harsaw,Torres
1677023,Harsaw,Vestal
1438246,Matterdawn,Vestal
1067114,Harsaw,Torres
1139859,Harsaw,Vestal
1243422,Harsaw,Vestal
1766691,Harsaw,Vestal
1799856,Matterdawn,Torres
1029898,Harsaw,Vestal
1814850,Porpus,Seth
1919174,Harsaw,Torres
1653668,Harsaw,Vestal
1712505,Harsaw,Seth
1965278,Harsaw,Torres
1472956,Matterdawn,Vestal
1952479,Harsaw,Vestal
1240665,Porpus,Vestal
1498355,Porpus,Vestal
1512740,Mershville,Vestal
1229747,Harsaw,Vestal
1444057,Harsaw,Torres
1875176,Harsaw,Torres
1378114,Porpus,Vestal
1395139,Harsaw,Vestal
1892912,Mershville,Seth
1056493,Harsaw,Torres
1890538,Matterdawn,Vestal
1103369,Matterdawn,Vestal
1915047,Matterdawn,Torres
1695969,Arrent,Torres
1350606,Mershville,Torres
1514856,Harsaw,Torres
1523751,Matterdawn,Torres
1905151,Porpus,Torres
1590424,Harsaw,Vestal
1995230,Harsaw,Torres
1554899,Mershville,Seth
1459423,Harsaw,Vestal
1779609,Harsaw,Torres
1888902,Matterdawn,Torres
1905963,Mershville,Torres
1841338,Harsaw,Torres
1133460,Harsaw,Torres
1338578,Porpus,Vestal
1037734,Matterdawn,Torres
1483893,Harsaw,Vestal
1233558,Porpus,Torres
1386073,Harsaw,Torres
1965527,Porpus,Torres
1366870,Harsaw,Torres
1049584,Porpus,Torres
1327462,Harsaw,Torres
1573929,Harsaw,Seth
1929013,Mershville,Torres
1883240,Harsaw,Seth
1439550,Matterdawn,Vestal
1411553,Porpus,Vestal
1617620,Mershville,Torres
1366274,Mershville,Torres
1825893,Matterdawn,Torres
1305932,Harsaw,Torres
1042879,Harsaw,Torres
1472908,Matterdawn,Vestal
1350373,Harsaw,Torres
1009688,Harsaw,Torres
1286071,Mershville,Torres
1983247,Harsaw,Torres
1102411,Mershville,Vestal
1035606,Mershville,Vestal
1667568,Matterdawn,Vestal
1955614,Matterdawn,Vestal
1045362,Matterdawn,Torres
1896030,Harsaw,Vestal
1727381,Arrent,Torres
1251962,Harsaw,Vestal
1727720,Matterdawn,Vestal
1940796,Porpus,Vestal
1325159,Porpus,Vestal
1882122,Harsaw,Torres
1536610,Porpus,Torres
1077387,Harsaw,Torres
1805620,Matterdawn,Vestal
1429561,Harsaw,Torres
1107315,Mershville,Torres
1618478,Harsaw,Torres
1104225,Harsaw,Torres
1323243,Porpus,Cordin
1049478,Mershville,Vestal
1176925,Mershville,Vestal
1581359,Matterdawn,Vestal
1117100,Mershville,Vestal
1431205,Matterdawn,Torres
1131797,Harsaw,Vestal
1310231,Porpus,Torres
1109324,Matterdawn,Vestal
1180449,Matterdawn,Torres
1530962,Harsaw,Vestal
1228491,Porpus,Torres
1696164,Harsaw,Vestal
1580145,Porpus,Torres
1295693,Mershville,Torres
1723484,Harsaw,Torres
1440187,Harsaw,Vestal
